,rank,trial,l_1 ratio,score,silhouete score,rmse
236,49,1,0.5,0.8431110345482676,0.45722927417293613,0.0028990767155174005
237,49,2,0.5,0.8071217724222514,0.542602036845019,0.0012754571025859437
238,49,3,0.5,0.794376283785686,0.6209238772024727,0.0028385197234233827
239,49,4,0.5,0.8053832865570821,0.4331833556741142,0.0025080761649480298
240,2,0,0.7,0.6430378165266581,0.5115177785957886,0.5405483637537087
241,2,1,0.7,0.6384292702945026,0.5100485777736331,0.5480183525944815
242,2,2,0.7,0.6422588740776936,0.506182879358849,0.5453201468655464
243,2,3,0.7,0.6510065633737453,0.5092874523954141,0.5401729977504314
244,2,4,0.7,0.6443157343469273,0.511984828649467,0.5413338886180629
245,3,0,0.7,0.7043314384631877,0.6512175931329701,0.41030292189423356
246,3,1,0.7,0.6991965322908474,0.6486151728949854,0.4091877332173309
247,3,2,0.7,0.693986192237196,0.6394191157737292,0.4208952762438556
248,3,3,0.7,0.6865858898493132,0.6392822653980651,0.41972776823759
249,3,4,0.7,0.6978462838685991,0.648970474966715,0.40847891343024206
250,4,0,0.7,0.7652814861912003,0.755521558585622,0.2746218868355859
251,4,1,0.7,0.7632604997532477,0.7549955171785274,0.2754764716788304
252,4,2,0.7,0.7597197394813899,0.748102904882046,0.28078331960948505
253,4,3,0.7,0.7562500849581556,0.7601503421652634,0.2789538045042129
254,4,4,0.7,0.7664946484329744,0.7490146351203605,0.27571646003700395
255,5,0,0.7,0.7675204487949642,0.6501588287726807,0.22480431133082607
256,5,1,0.7,0.7765565423952364,0.6384501587986063,0.2178393717880758
257,5,2,0.7,0.7737047165351584,0.6969436880898142,0.21523393672451552
258,5,3,0.7,0.7618749655731574,0.6235382462451535,0.21758827030833716
259,5,4,0.7,0.7798451666269726,0.674374904561256,0.2052126269575344
260,7,0,0.7,0.7948160986519496,0.7190574615495496,0.13445489203701055
261,7,1,0.7,0.7672388643686582,0.23428167132127473,0.13332122380315106
262,7,2,0.7,0.7358667519142184,0.33876959185681466,0.13232682430253748
263,7,3,0.7,0.6969708888517285,0.365630599978903,0.12805910643192425
264,7,4,0.7,0.7958264685754013,0.6472195575215162,0.1406953932835192
265,9,0,0.7,0.8029899108977322,0.6092375314128252,0.11870157517290207
266,9,1,0.7,0.7949035592819037,0.7021449887434908,0.10066054790885516
267,9,2,0.7,0.7989166070068408,0.6222687962392068,0.09784078858252468
268,9,3,0.7,0.7918773022209208,0.5121178030514216,0.1096843699580871
269,9,4,0.7,0.8050097544188233,0.5403080383681252,0.10749005498487925
270,12,0,0.7,0.8088715198379126,0.614590384562802,0.04689245057741928
271,12,1,0.7,0.7965215535123543,0.5379669379036996,0.048791416430215576
272,12,2,0.7,0.7997377364839301,0.6197917481737747,0.0639959845852581
273,12,3,0.7,0.7831270495169566,0.6142781529353946,0.06286472644045495
274,12,4,0.7,0.7944496410580055,0.7602923979604729,0.04838954159886583
275,16,0,0.7,0.7408730810818115,0.5753505090296788,0.041207776923960264
276,16,1,0.7,0.8032016595532987,0.5819700653059305,0.033360257595856195
277,16,2,0.7,0.8147996964613248,0.6613000098818442,0.02080808206494823
278,16,3,0.7,0.8131364134042904,0.558060288130257,0.04142794585144795
279,16,4,0.7,0.8084778094975278,0.518927230405991,0.034574448497480204
280,21,0,0.7,0.754228360509353,0.5855847579197634,0.008222942344000428
281,21,1,0.7,0.8476741014600859,0.4664223268593611,0.018034341604716057
282,21,2,0.7,0.7642101273273857,0.5521802150798989,0.0141324901057404
283,21,3,0.7,0.7944986556064211,0.4369139035543319,0.018100340216900657
284,21,4,0.7,0.8110528134745191,0.6236102286657192,0.023904913610680728
285,28,0,0.7,0.7619910898164338,0.15900651493190535,0.006743561607727964
286,28,1,0.7,0.8217754386755773,0.6030539092559196,0.005202583225328765
287,28,2,0.7,0.7964781541042257,0.2878431291448574,0.007618250202283337
288,28,3,0.7,0.787163143821088,0.4952650052906597,0.0051574322691953015
289,28,4,0.7,0.7968167498569025,0.334133348059369,0.004747906374146308
290,37,0,0.7,0.7835446620476703,0.5395021190043553,0.003248185054094282
291,37,1,0.7,0.797692846629786,0.6880394839568528,0.004077917355054464
292,37,2,0.7,0.7665740870127609,0.34328041300675805,0.003861998042779476
293,37,3,0.7,0.8032583192644098,0.7246022271092003,0.0027722783157328804
294,37,4,0.7,0.7533609044164647,0.3672899020084776,0.002867421534061077
295,49,0,0.7,0.8022559536913055,0.4284269353837184,0.001833320465549545
296,49,1,0.7,0.7661845417170449,0.3319185726845766,0.0021354374348973772
297,49,2,0.7,0.8072762209613196,0.4857732242538349,0.002598056861638124
298,49,3,0.7,0.7833553657726356,0.22734980416249165,0.0018311723873079661
299,49,4,0.7,0.7970733720975555,0.6972382617769091,0.0024919918073705535
300,2,0,1.0,0.6376954969636707,0.5077456125381591,0.5433719819795384
301,2,1,1.0,0.63717024070043,0.5048533813398808,0.546076165119343
302,2,2,1.0,0.6480773025101833,0.5135949267774528,0.539771284658105
303,2,3,1.0,0.6326549594463874,0.4976137230919521,0.5512307532776908
304,2,4,1.0,0.6603896636709093,0.5233330201341317,0.5427883615848572
305,3,0,1.0,0.7114475849763946,0.6458024887043946,0.41343241297966865
306,3,1,1.0,0.7038472911179693,0.6538891730536114,0.4049633783204285
307,3,2,1.0,0.7038282687816241,0.6357199725231591,0.42194102273453576
308,3,3,1.0,0.691427834622944,0.6389333789698128,0.4199273160156046
309,3,4,1.0,0.6928561018666021,0.6429179903986915,0.41634017410890833
310,4,0,1.0,0.7745730691999105,0.759339811852395,0.27916272826735644
311,4,1,1.0,0.7662151035130167,0.7654655848059033,0.2759946211319327
312,4,2,1.0,0.7545054613332973,0.7484275699956388,0.28196326890094037
313,4,3,1.0,0.7634835129666984,0.7569813710164087,0.28215827332702526
314,4,4,1.0,0.7651412666985605,0.7498776035191587,0.27783244032930493
315,5,0,1.0,0.7818326992625992,0.7054447763256145,0.2166508893644453
316,5,1,1.0,0.7738144236158133,0.6999380797207392,0.2169699840091902
317,5,2,1.0,0.7079779924651869,0.41721717520765955,0.2190232979709687
318,5,3,1.0,0.7761749498857915,0.7071974359837087,0.21588989402787942
319,5,4,1.0,0.7753571024820921,0.6916303041291705,0.21654288885186274
320,7,0,1.0,0.791101291808532,0.7129626592061753,0.1454952795817291
321,7,1,1.0,0.7671481537643422,0.6566837024217513,0.12838620305607265
322,7,2,1.0,0.7412134518276048,0.2552856113658487,0.12466841010070738
323,7,3,1.0,0.789025832774365,0.6960293667727965,0.12855119323596254
324,7,4,1.0,0.7760868159882177,0.7155743214322055,0.12693137846376915
325,9,0,1.0,0.7683390323396986,0.6163416987418895,0.12303558346521024
326,9,1,1.0,0.7810399713036014,0.7926290318362866,0.09220389283930737
327,9,2,1.0,0.7302921611606302,0.1773976348129456,0.10426979027233411
328,9,3,1.0,0.7111646210190942,0.402007887347721,0.09849221552298745
329,9,4,1.0,0.7983806335279648,0.48233600175926405,0.11276995856069702
330,12,0,1.0,0.7897135526546534,0.6582723162346087,0.0626476878250502
331,12,1,1.0,0.7998900392992783,0.6643924964101411,0.06342280019781041
332,12,2,1.0,0.8064145843881527,0.6471302633163477,0.06397894877903262
333,12,3,1.0,0.7174486993254525,0.25710197922101696,0.06574556070925652
334,12,4,1.0,0.7828436186865614,0.6875163063117661,0.05089864488443838
335,16,0,1.0,0.8309666436500983,0.5654333710437701,0.04141937004385758
336,16,1,1.0,0.7907475112593528,0.684532278291699,0.042515514320061794
337,16,2,1.0,0.8054097701756425,0.6430816855875175,0.022785931136633485
338,16,3,1.0,0.8212109125045038,0.5610509665513933,0.03140017654119952
339,16,4,1.0,0.802640745325554,0.5413134193075908,0.02161998394765602
340,21,0,1.0,0.8195616491292939,0.5198578278407684,0.012101048495797502
341,21,1,1.0,0.8194141978446285,0.5762433247983542,0.005839920271567222
342,21,2,1.0,0.7803409956504394,0.42990630085284154,0.01619421308312345
343,21,3,1.0,0.7657970228970455,0.13691403586386142,0.01689492916176477
344,21,4,1.0,0.804523171769305,0.33808202399627163,0.015166195494403848
345,28,0,1.0,0.8007626553447508,0.5915744579911396,0.00808581509555172
346,28,1,1.0,0.8119343653563419,0.6214119869036583,0.003379654209130382
347,28,2,1.0,0.785126895747014,0.26191410509681806,0.005898998818330412
348,28,3,1.0,0.81536965489328,0.7096108281929977,0.005706327958913545
349,28,4,1.0,0.7999451517741956,0.38878247128008986,0.006115732761039228
350,37,0,1.0,0.7984117496879998,0.6300904099015625,0.004959785993066993
351,37,1,1.0,0.8017559864051419,0.5958733168035253,0.005748205892067492
352,37,2,1.0,0.822812364861962,0.11676218490059252,0.00409451096078479
353,37,3,1.0,0.7997930730443003,0.42161074645623514,0.004730582777275369
354,37,4,1.0,0.7562992347830007,0.599968875816079,0.0031382742931910248
355,49,0,1.0,0.791403934346946,0.7176605574940315,0.0029138123978412443
356,49,1,1.0,0.8023884301678609,0.8027120196129258,0.002349569160024384
357,49,2,1.0,0.7479080734207255,0.6400604999173796,0.0010212847328633715
358,49,3,1.0,0.8041882439673463,0.6800845679292331,0.001735141311249045
359,49,4,1.0,0.8116308496718573,0.5862677345818496,0.0015973305989644125
