,rank,trial,l_1 ratio,score,silhouete score,rmse
122,2,2,0.2,0.6610382201572023,0.5241473000352731,1.367986630809583
123,2,3,0.2,0.657419549253016,0.5181999661180283,1.3728878954534067
124,2,4,0.2,0.6587839963127866,0.5196643192933001,1.369545143899634
125,3,0,0.2,0.7163296979434778,0.5920070502828653,1.0067974991133923
126,3,1,0.2,0.7240593032125586,0.6129223592619512,1.0001423628393067
127,3,2,0.2,0.7101237073648905,0.5975348719944263,1.0081495284195106
128,3,3,0.2,0.7088751652813159,0.5962896067548651,1.0133101241692688
129,3,4,0.2,0.7120620876951337,0.5922894863660381,1.0205696261483208
130,4,0,0.2,0.7631934326253238,0.6337567446395523,0.8279346672801522
131,4,1,0.2,0.7451459119400894,0.5706706595517628,0.8783996673341963
132,4,2,0.2,0.7294153751479708,0.5825976260692953,0.8943868405038446
133,4,3,0.2,0.7750320801686463,0.7343631619762991,0.82012451142581
134,4,4,0.2,0.7059367014810289,0.5037315540572093,1.011506094827341
135,5,0,0.2,0.7793144115450785,0.5932393500465373,0.8099646749804101
136,5,1,0.2,0.7664397549955596,0.6960307618220407,0.6783162936033431
137,5,2,0.2,0.7990428983860725,0.6837092385900259,0.6808320164009566
138,5,3,0.2,0.7181936239715836,0.5550986679538157,0.8132677040718876
139,5,4,0.2,0.7454496926116365,0.5788813228068813,0.7374979809774584
140,7,0,0.2,0.8109386960631702,0.697751826487841,0.4181917921966944
141,7,1,0.2,0.8074283710679223,0.7139926925780338,0.39504021530071637
142,7,2,0.2,0.8085891851245675,0.6775457992872012,0.42222143302583165
143,7,3,0.2,0.7858911095990971,0.6680124700422702,0.4649003360842823
144,7,4,0.2,0.799736092750745,0.7484897347456563,0.3890501318003974
145,9,0,0.2,0.7679533305268382,0.6067723262456058,0.3451998916319633
146,9,1,0.2,0.74143685641937,0.3564433209964945,0.6350017424604869
147,9,2,0.2,0.8033012105590215,0.687178321432264,0.32198971155811734
148,9,3,0.2,0.789475282495237,0.6134775749640946,0.39177621310351624
149,9,4,0.2,0.742610128492122,0.49269135564536587,0.63254665078907
150,12,0,0.2,0.8136157059612558,0.7658419533923689,0.2211895817324025
151,12,1,0.2,0.8088663899584567,0.7517045892954773,0.22586007120118337
152,12,2,0.2,0.8031601224218402,0.6168410138699565,0.21398675418398733
